,Trial-ID,Status,Iteration,hidden1,hidden2,hidden_pm,hidden_tooth,hidden_winding,hidden_yoke,input_rec,lr,output_rec,window,Objective
481,241,COMPLETED,1,48.0,12.0,8.0,9.0,8.0,3.0,1.0,0.001,1.0,5.0,185.63235472142696
482,242,INTERMEDIATE,1,12.0,30.0,12.0,4.0,8.0,7.0,1.0,0.001,1.0,4.0,194.69134750962257
483,242,COMPLETED,1,12.0,30.0,12.0,4.0,8.0,7.0,1.0,0.001,1.0,4.0,194.69134750962257
484,243,INTERMEDIATE,1,16.0,27.0,18.0,7.0,12.0,12.0,0.0,0.001,1.0,1.0,201.54327536188066
485,243,COMPLETED,1,16.0,27.0,18.0,7.0,12.0,12.0,0.0,0.001,1.0,1.0,201.54327536188066
486,244,INTERMEDIATE,1,42.0,10.0,10.0,18.0,10.0,5.0,0.0,0.001,1.0,8.0,225.33239522669464
487,244,COMPLETED,1,42.0,10.0,10.0,18.0,10.0,5.0,0.0,0.001,1.0,8.0,225.33239522669464
488,245,INTERMEDIATE,1,15.0,41.0,8.0,9.0,7.0,5.0,1.0,0.001,0.0,5.0,169.10915114358068
489,245,COMPLETED,1,15.0,41.0,8.0,9.0,7.0,5.0,1.0,0.001,0.0,5.0,169.10915114358068
490,246,INTERMEDIATE,1,18.0,36.0,11.0,12.0,11.0,7.0,0.0,0.001,1.0,6.0,206.71652706339955
491,246,COMPLETED,1,18.0,36.0,11.0,12.0,11.0,7.0,0.0,0.001,1.0,6.0,206.71652706339955
492,247,INTERMEDIATE,1,14.0,31.0,13.0,4.0,7.0,8.0,1.0,0.001,0.0,3.0,159.0834292024374
493,247,COMPLETED,1,14.0,31.0,13.0,4.0,7.0,8.0,1.0,0.001,0.0,3.0,159.0834292024374
494,248,INTERMEDIATE,1,16.0,39.0,8.0,12.0,8.0,5.0,0.0,0.001,0.0,9.0,230.85825996287167
495,248,COMPLETED,1,16.0,39.0,8.0,12.0,8.0,5.0,0.0,0.001,0.0,9.0,230.85825996287167
496,249,INTERMEDIATE,1,15.0,20.0,15.0,7.0,12.0,8.0,1.0,0.001,1.0,7.0,223.60504200682044
497,249,COMPLETED,1,15.0,20.0,15.0,7.0,12.0,8.0,1.0,0.001,1.0,7.0,223.60504200682044
498,250,INTERMEDIATE,1,17.0,25.0,17.0,6.0,6.0,14.0,0.0,0.001,0.0,2.0,232.89132615271956
499,250,COMPLETED,1,17.0,25.0,17.0,6.0,6.0,14.0,0.0,0.001,0.0,2.0,232.89132615271956
